Category;Managed by;Beheerder;Name;Naam;Postal code;Municipality;Gemeente;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_update
Tram;STIB;MIVB;Roodebeek;Roodebeek;1200;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;https://www.google.com/maps/search/?api=1&query=50.84752402%2C4.43633066;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84752402%2C4.43633066;50.8475240236, 4.4363306582;"{""coordinates"": [4.4363306582, 50.8475240236], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Ukkel Kleine Hut;Ukkel Kleine Hut;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.77017481%2C4.3827712;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.77017481%2C4.3827712;50.7701748095, 4.3827712019;"{""coordinates"": [4.3827712019, 50.7701748095], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Delleur;Delleur;1170;Watermael-Boitsfort;Watermaal-Bosvoorde;https://www.google.com/maps/search/?api=1&query=50.79573352%2C4.41357256;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.79573352%2C4.41357256;50.795733516, 4.4135725578;"{""coordinates"": [4.4135725578, 50.795733516], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Sint-Jans-Molenbeek Merchtem;Sint-Jans-Molenbeek Merchtem;1080;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;https://www.google.com/maps/search/?api=1&query=50.85823351%2C4.33642649;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85823351%2C4.33642649;50.8582335133, 4.3364264945;"{""coordinates"": [4.3364264945, 50.8582335133], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Woluwe Shopping;Woluwe Shopping;1200;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;https://www.google.com/maps/search/?api=1&query=50.84459761%2C4.43839516;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84459761%2C4.43839516;50.8445976144, 4.4383951621;"{""coordinates"": [4.4383951621, 50.8445976144], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Brussel Beurs;Brussel Beurs;1000;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.84908482%2C4.34836071;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84908482%2C4.34836071;50.8490848188, 4.3483607072;"{""coordinates"": [4.3483607072, 50.8490848188], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Stuyvenbergh;Stuyvenbergh;1020;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.88639804%2C4.3424658;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88639804%2C4.3424658;50.8863980364, 4.3424658042;"{""coordinates"": [4.3424658042, 50.8863980364], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Ukkel De FrÃƒÂ©;Ukkel De FrÃƒÂ©;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.80624217%2C4.3717165;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.80624217%2C4.3717165;50.8062421722, 4.3717164974;"{""coordinates"": [4.3717164974, 50.8062421722], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
Tram;STIB;MIVB;Mercator;Mercator;1120;Bruxelles;Brussel;https://www.google.com/maps/search/?api=1&query=50.90838112%2C4.39571442;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.90838112%2C4.39571442;50.9083811225, 4.3957144173;"{""coordinates"": [4.3957144173, 50.9083811225], ""type"": ""Point""}";STIB;2025-05-19T02:00:00+02:00
Bus;De Lijn;De Lijn;Ukkel De FrÃƒÂ©;Ukkel De FrÃƒÂ©;1180;Uccle;Ukkel;https://www.google.com/maps/search/?api=1&query=50.80601742%2C4.37201441;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.80601742%2C4.37201441;50.8060174223, 4.3720144083;"{""coordinates"": [4.3720144083, 50.8060174223], ""type"": ""Point""}";De Lijn;2025-05-19T02:00:00+02:00
