grid_row,grid_col,count,approx_lat,approx_lon,Bus,Métro,Tram
0,25,91,50.797524,4.403206,0.0,0.0,0.0
0,27,448,50.797524,4.410328,0.0,0.0,0.0
0,28,174,50.797524,4.413889,0.0,0.0,0.0
0,29,269,50.797524,4.41745,2.0,0.0,2.0
1,-6,24,50.79977,4.292814,0.0,0.0,0.0
1,-1,24,50.79977,4.31062,0.0,0.0,0.0
1,0,83,50.79977,4.31418,1.0,0.0,0.0
1,1,36,50.79977,4.317742,2.0,0.0,2.0
1,2,18,50.79977,4.321302,0.0,0.0,0.0
1,4,9,50.79977,4.328425,2.0,0.0,0.0
1,6,2,50.79977,4.335546,3.0,0.0,3.0
1,7,11,50.79977,4.339108,1.0,0.0,1.0
1,8,11,50.79977,4.342668,0.0,0.0,1.0
1,11,46,50.79977,4.353352,0.0,0.0,0.0
1,12,2,50.79977,4.356912,4.0,0.0,0.0
1,17,533,50.79977,4.374718,1.0,0.0,0.0
1,18,10,50.79977,4.378278,3.0,0.0,0.0
1,20,12,50.79977,4.3854,0.0,0.0,0.0
1,22,19,50.79977,4.392522,0.0,0.0,0.0
1,24,59,50.79977,4.399644,0.0,0.0,0.0
1,25,75,50.79977,4.403206,0.0,0.0,0.0
1,26,346,50.79977,4.406766,0.0,0.0,0.0
1,28,20,50.79977,4.413889,2.0,0.0,0.0
1,29,299,50.79977,4.41745,1.0,0.0,0.0
1,30,4,50.79977,4.42101,0.0,0.0,0.0
1,31,24,50.79977,4.424572,0.0,0.0,0.0
2,-7,18,50.802018,4.289254,0.0,0.0,0.0
2,-1,24,50.802018,4.31062,0.0,0.0,0.0
2,0,80,50.802018,4.31418,2.0,0.0,2.0
2,1,839,50.802018,4.317742,0.0,0.0,0.0
2,2,484,50.802018,4.321302,0.0,0.0,0.0
2,4,4,50.802018,4.328425,0.0,0.0,0.0
2,6,276,50.802018,4.335546,1.0,0.0,1.0
2,7,20,50.802018,4.339108,0.0,0.0,1.0
2,8,21,50.802018,4.342668,5.0,0.0,0.0
2,11,3,50.802018,4.353352,0.0,0.0,0.0
2,13,25,50.802018,4.360474,1.0,0.0,0.0
2,17,273,50.802018,4.374718,3.0,0.0,0.0
2,21,162,50.802018,4.388962,2.0,0.0,2.0
2,22,182,50.802018,4.392522,2.0,0.0,2.0
2,23,185,50.802018,4.396084,2.0,0.0,0.0
2,24,102,50.802018,4.399644,0.0,0.0,0.0
2,25,1,50.802018,4.403206,0.0,0.0,0.0
2,26,65,50.802018,4.406766,0.0,0.0,0.0
2,28,133,50.802018,4.413889,2.0,0.0,0.0
2,29,68,50.802018,4.41745,1.0,0.0,0.0
2,30,240,50.802018,4.42101,1.0,0.0,2.0
2,31,79,50.802018,4.424572,0.0,0.0,0.0
2,32,164,50.802018,4.428132,0.0,0.0,0.0
2,33,31,50.802018,4.431694,0.0,0.0,0.0
2,34,11,50.802018,4.435254,0.0,0.0,0.0
2,35,24,50.802018,4.438816,0.0,0.0,0.0
3,-1,467,50.804264,4.31062,0.0,0.0,0.0
3,0,293,50.804264,4.31418,0.0,0.0,0.0
3,1,51,50.804264,4.317742,0.0,0.0,0.0
3,6,26,50.804264,4.335546,1.0,0.0,1.0
3,7,29,50.804264,4.339108,0.0,0.0,0.0
3,8,258,50.804264,4.342668,3.0,0.0,2.0
3,10,16,50.804264,4.34979,4.0,0.0,0.0
3,12,80,50.804264,4.356912,2.0,0.0,0.0
3,13,24,50.804264,4.360474,5.0,0.0,0.0
3,15,4,50.804264,4.367596,2.0,0.0,0.0
3,16,952,50.804264,4.371157,0.0,0.0,0.0
3,18,38,50.804264,4.378278,0.0,0.0,0.0
3,23,13,50.804264,4.396084,0.0,0.0,0.0
3,24,111,50.804264,4.399644,2.0,0.0,0.0
3,26,131,50.804264,4.406766,1.0,0.0,0.0
3,27,36,50.804264,4.410328,0.0,0.0,0.0
3,28,14,50.804264,4.413889,0.0,0.0,0.0
3,29,2,50.804264,4.41745,0.0,0.0,0.0
3,30,137,50.804264,4.42101,0.0,0.0,0.0
3,31,249,50.804264,4.424572,0.0,0.0,0.0
3,32,90,50.804264,4.428132,0.0,0.0,2.0
3,34,166,50.804264,4.435254,0.0,0.0,0.0
