grid_row,grid_col,count,approx_lat,approx_lon
3,15,4,50.804264499999995,4.3675955
3,16,952,50.804264499999995,4.3711565000000006
3,18,38,50.804264499999995,4.3782785
3,23,13,50.804264499999995,4.3960835000000005
3,24,111,50.804264499999995,4.3996445
3,26,131,50.804264499999995,4.4067665
3,27,36,50.804264499999995,4.4103275
3,28,14,50.804264499999995,4.4138885000000005
3,29,2,50.804264499999995,4.4174495
3,30,137,50.804264499999995,4.4210105
3,31,249,50.804264499999995,4.4245715
3,32,90,50.804264499999995,4.4281325
3,34,166,50.804264499999995,4.4352545
3,35,247,50.804264499999995,4.4388155000000005
4,-6,24,50.8065115,4.2928145
4,0,222,50.8065115,4.3141805
4,1,10,50.8065115,4.3177415
4,2,4,50.8065115,4.3213025
4,3,357,50.8065115,4.3248635
4,5,28,50.8065115,4.3319855
4,6,15,50.8065115,4.3355465
4,7,40,50.8065115,4.3391075
4,12,43,50.8065115,4.3569125
4,13,6,50.8065115,4.3604735
4,15,5,50.8065115,4.3675955
4,16,12,50.8065115,4.3711565000000006
4,17,18,50.8065115,4.3747175
4,18,74,50.8065115,4.3782785
4,19,51,50.8065115,4.3818395
4,20,151,50.8065115,4.3854005
4,21,95,50.8065115,4.388961500000001
4,22,62,50.8065115,4.3925225
4,23,56,50.8065115,4.3960835000000005
4,25,60,50.8065115,4.4032055
4,26,266,50.8065115,4.4067665
4,27,32,50.8065115,4.4103275
4,28,171,50.8065115,4.4138885000000005
4,30,156,50.8065115,4.4210105
4,35,143,50.8065115,4.4388155000000005
5,-6,48,50.808758499999996,4.2928145
5,-3,24,50.808758499999996,4.303497500000001
5,-2,24,50.808758499999996,4.3070585
5,0,603,50.808758499999996,4.3141805
5,1,234,50.808758499999996,4.3177415
5,2,36,50.808758499999996,4.3213025
5,3,256,50.808758499999996,4.3248635
5,4,24,50.808758499999996,4.328424500000001
5,5,10,50.808758499999996,4.3319855
5,6,218,50.808758499999996,4.3355465
5,7,60,50.808758499999996,4.3391075
5,8,35,50.808758499999996,4.3426685
5,10,24,50.808758499999996,4.3497905
5,13,2,50.808758499999996,4.3604735
5,14,11,50.808758499999996,4.3640345
5,15,5,50.808758499999996,4.3675955
5,16,6,50.808758499999996,4.3711565000000006
5,18,69,50.808758499999996,4.3782785
5,19,123,50.808758499999996,4.3818395
5,20,73,50.808758499999996,4.3854005
5,21,200,50.808758499999996,4.388961500000001
5,22,158,50.808758499999996,4.3925225
5,23,236,50.808758499999996,4.3960835000000005
5,24,28,50.808758499999996,4.3996445
5,25,100,50.808758499999996,4.4032055
5,28,264,50.808758499999996,4.4138885000000005
5,29,7,50.808758499999996,4.4174495
5,30,391,50.808758499999996,4.4210105
5,31,56,50.808758499999996,4.4245715
5,32,51,50.808758499999996,4.4281325
5,33,166,50.808758499999996,4.431693500000001
5,35,304,50.808758499999996,4.4388155000000005
5,36,308,50.808758499999996,4.4423765
5,37,48,50.808758499999996,4.4459375
6,-8,230,50.8110055,4.285692500000001
6,-6,3,50.8110055,4.2928145
6,-4,48,50.8110055,4.2999365
6,-2,24,50.8110055,4.3070585
6,0,423,50.8110055,4.3141805
6,1,138,50.8110055,4.3177415
6,2,7,50.8110055,4.3213025
6,3,178,50.8110055,4.3248635
6,4,148,50.8110055,4.328424500000001
6,5,2,50.8110055,4.3319855
6,6,317,50.8110055,4.3355465
6,7,104,50.8110055,4.3391075
6,8,11,50.8110055,4.3426685
6,9,2,50.8110055,4.346229500000001
6,10,49,50.8110055,4.3497905
6,11,100,50.8110055,4.3533515000000005
6,12,6,50.8110055,4.3569125
6,13,89,50.8110055,4.3604735
6,14,73,50.8110055,4.3640345
6,15,638,50.8110055,4.3675955
6,16,114,50.8110055,4.3711565000000006
6,18,123,50.8110055,4.3782785
6,19,72,50.8110055,4.3818395
6,20,85,50.8110055,4.3854005
6,21,118,50.8110055,4.388961500000001
6,22,115,50.8110055,4.3925225
6,23,40,50.8110055,4.3960835000000005
6,24,87,50.8110055,4.3996445
6,25,281,50.8110055,4.4032055
6,27,91,50.8110055,4.4103275
6,29,386,50.8110055,4.4174495
6,30,49,50.8110055,4.4210105
6,31,175,50.8110055,4.4245715
6,32,129,50.8110055,4.4281325
6,33,38,50.8110055,4.431693500000001
6,34,310,50.8110055,4.4352545
6,35,236,50.8110055,4.4388155000000005
7,-11,5,50.8132525,4.2750095
7,-10,19,50.8132525,4.2785705
7,-7,6,50.8132525,4.2892535
7,-4,24,50.8132525,4.2999365
7,-3,30,50.8132525,4.303497500000001
7,-2,1,50.8132525,4.3070585
7,-1,300,50.8132525,4.3106195000000005
7,1,302,50.8132525,4.3177415
7,2,237,50.8132525,4.3213025
7,3,13,50.8132525,4.3248635
7,4,14,50.8132525,4.328424500000001
7,5,5,50.8132525,4.3319855
7,6,14,50.8132525,4.3355465
7,7,5,50.8132525,4.3391075
7,8,2,50.8132525,4.3426685
7,9,176,50.8132525,4.346229500000001
7,10,3,50.8132525,4.3497905
7,11,26,50.8132525,4.3533515000000005
7,12,143,50.8132525,4.3569125
7,13,28,50.8132525,4.3604735
7,14,1,50.8132525,4.3640345
7,15,1,50.8132525,4.3675955
7,16,3,50.8132525,4.3711565000000006
7,17,2,50.8132525,4.3747175
7,18,273,50.8132525,4.3782785
7,19,26,50.8132525,4.3818395
7,20,100,50.8132525,4.3854005
7,21,62,50.8132525,4.388961500000001
7,22,10,50.8132525,4.3925225
7,23,436,50.8132525,4.3960835000000005
7,24,46,50.8132525,4.3996445
7,25,67,50.8132525,4.4032055
7,26,27,50.8132525,4.4067665
7,27,134,50.8132525,4.4103275
7,28,40,50.8132525,4.4138885000000005
7,29,2,50.8132525,4.4174495
7,30,247,50.8132525,4.4210105
7,32,444,50.8132525,4.4281325
7,33,2,50.8132525,4.431693500000001
7,34,221,50.8132525,4.4352545
7,35,319,50.8132525,4.4388155000000005
8,-12,305,50.8154995,4.2714485
8,-10,28,50.8154995,4.2785705
8,-8,110,50.8154995,4.285692500000001
8,-7,35,50.8154995,4.2892535
8,-6,132,50.8154995,4.2928145
8,-5,60,50.8154995,4.2963755
8,-4,59,50.8154995,4.2999365
8,-1,310,50.8154995,4.3106195000000005
8,0,29,50.8154995,4.3141805
8,1,1,50.8154995,4.3177415
8,3,3,50.8154995,4.3248635
8,6,201,50.8154995,4.3355465
8,7,291,50.8154995,4.3391075
8,8,194,50.8154995,4.3426685
8,9,175,50.8154995,4.346229500000001
8,10,389,50.8154995,4.3497905
8,11,460,50.8154995,4.3533515000000005
8,13,13,50.8154995,4.3604735
8,14,281,50.8154995,4.3640345
8,15,627,50.8154995,4.3675955
8,16,533,50.8154995,4.3711565000000006
8,17,45,50.8154995,4.3747175
8,18,177,50.8154995,4.3782785
8,19,161,50.8154995,4.3818395
8,20,86,50.8154995,4.3854005
8,21,264,50.8154995,4.388961500000001
8,22,73,50.8154995,4.3925225
8,27,489,50.8154995,4.4103275
8,28,87,50.8154995,4.4138885000000005
8,29,189,50.8154995,4.4174495
8,30,24,50.8154995,4.4210105
8,31,301,50.8154995,4.4245715
8,32,6,50.8154995,4.4281325
8,33,796,50.8154995,4.431693500000001
